active_cust,expenditure,months_on_network,Num_complaints,number_plan_changes,relocated,monthly_bill,technical_issues_per_month,Speed_test_result
0,1268.8,85,4,1,0,121,4,85
0,1264.8,85,4,1,0,133,4,85
0,1275.2,82,4,1,0,118,4,85
0,1275.2,82,4,1,0,123,4,85
1,1287.2,80,4,1,0,177,4,85
1,1280.8,80,4,1,0,31,4,85
1,1278.4,81,4,1,0,126,4,85
1,1277.6,81,4,1,0,30,4,85
1,1283.2,81,4,1,0,49,4,85
1,1284.0,81,4,1,0,35,4,85
1,1286.4,81,4,1,0,34,4,85
1,1289.6,80,4,1,0,46,4,85
0,1300.0,78,4,1,0,37,4,85
1,1288.0,80,4,1,0,47,4,85
1,1295.2,78,4,1,0,78,4,85
1,1300.8,77,4,1,0,37,4,85
1,1300.8,77,4,1,0,178,4,85
1,1302.4,77,4,1,0,125,4,85
1,1306.4,77,4,1,0,125,4,85
1,1307.2,76,4,1,0,39,4,85
1,1309.6,75,4,1,0,40,4,85
1,1298.4,78,4,1,0,42,4,85
1,1300.8,77,4,1,0,43,4,85
1,1301.6,77,4,1,0,126,4,85
1,1298.4,78,4,1,0,81,4,85
1,1287.2,79,4,1,0,33,4,85
1,1288.0,79,4,1,0,82,4,85
1,1305.6,77,4,1,0,118,4,85
1,1307.2,77,4,1,0,123,4,85
0,1294.4,79,4,1,0,33,4,85
0,1280.0,82,4,1,0,130,4,85
0,1272.8,83,4,1,0,178,4,85
1,1280.8,81,4,1,0,85,4,85
1,1285.6,81,4,1,0,82,4,85
0,1275.2,83,4,1,0,125,4,85
1,1272.0,83,4,1,0,82,4,85
1,1262.4,86,4,1,0,93,4,85
1,1260.8,86,4,1,0,89,4,85
1,1271.2,83,4,1,0,178,4,85
1,1274.4,83,4,1,0,93,4,85
1,1250.4,88,4,1,0,39,4,85
1,1249.6,87,4,1,0,40,4,85
1,1264.0,85,4,1,0,34,4,85
1,1247.2,88,4,1,0,32,4,85
1,1252.8,88,4,1,0,48,4,85
1,1252.8,87,4,1,0,40,4,85
1,1255.2,87,4,1,0,33,4,85
1,1258.4,86,4,1,0,44,4,85
1,1267.2,85,4,1,0,33,4,85
1,1297.6,78,4,1,0,49,4,85
1,1307.2,77,4,1,0,45,4,85
1,1294.4,78,4,1,0,40,4,85
1,1300.0,77,4,1,0,42,4,85
0,1318.4,74,4,1,0,48,4,85
